trait,var_G,var_T,var_GxT,var_e,var_P,H2_broad,pct_var_G,pct_var_T,pct_var_GxT,pct_var_e
rCCI_30,0.00163639,0.0575593,0.00327319,0.00452102,0.0669899,0.0244274,2.44274,85.9224,4.8861,6.74881
QY_BL_30,0,0.0149262,0.000743386,0.000356667,0.0160263,0,0,93.136,4.63854,2.22551
