b_rCCI,b_QYBL,threshold
-2.36152,-4.69219,0.76
-2.55291,-5.34129,0.76
-2.924,-4.74081,0.76
-3.26051,-5.01071,0.76
-2.63066,-4.14441,0.76
-2.92347,-4.78618,0.76
-4.29116,-6.20861,0.76
-2.72318,-4.25717,0.76
-5.30227,-7.50484,0.75
-3.99856,-5.64136,0.76
-3.25644,-5.40152,0.76
-2.78836,-6.00024,0.76
-2.99764,-5.82053,0.73
-3.85079,-5.40937,0.76
-2.71801,-4.91716,0.76
-1.94776,-6.08999,0.75
-2.8879,-5.61139,0.76
-2.6969,-4.74452,0.76
-2.9327,-4.70216,0.76
-3.82474,-5.40746,0.75
-4.56544,-6.43612,0.75
-3.00308,-4.93369,0.76
-3.71856,-5.32786,0.76
-3.26996,-5.28261,0.76
-2.70541,-4.79627,0.76
-3.51269,-4.44081,0.76
-2.96016,-4.66786,0.76
-3.84567,-6.71273,0.76
-2.92113,-5.37049,0.76
-2.72878,-5.27461,0.75
-3.23196,-5.10292,0.75
-3.2313,-5.44432,0.75
-3.46383,-5.10123,0.75
-3.42523,-6.32219,0.73
-3.73347,-4.21857,0.76
-3.95582,-5.79808,0.75
-2.69944,-5.81054,0.75
-3.53611,-6.19585,0.76
-3.22598,-4.52066,0.76
-3.2795,-4.31003,0.76
-3.49523,-5.65979,0.76
-4.13383,-7.95041,0.73
-2.73364,-4.54622,0.76
-3.19182,-4.4568,0.76
-3.91996,-5.60401,0.76
-2.1211,-4.7315,0.76
-2.6464,-4.48667,0.76
-1.93706,-6.00461,0.75
-2.80285,-5.29879,0.75
-2.99255,-4.30168,0.76
-3.09299,-5.69689,0.73
-3.30517,-5.55766,0.73
-2.87184,-4.78874,0.75
-5.42065,-6.76427,0.76
-4.42657,-6.52798,0.76
-3.87303,-5.36368,0.75
-2.9618,-5.9615,0.76
-3.32779,-5.16682,0.76
-2.3211,-5.14001,0.76
-2.45704,-4.81333,0.75
-2.90207,-5.55758,0.76
-2.93527,-5.57017,0.76
-2.96216,-5.33838,0.76
-2.64536,-4.94779,0.76
-2.27418,-5.12079,0.75
-2.39707,-4.40992,0.76
-3.02896,-5.08943,0.75
-4.30033,-6.53156,0.76
-3.44198,-5.11171,0.76
-3.95202,-4.76965,0.76
-3.07578,-5.5469,0.76
-3.73383,-5.56062,0.76
-3.88173,-6.79662,0.73
-4.10065,-5.59061,0.76
-4.11667,-5.67332,0.75
-2.60803,-5.4712,0.76
-3.1903,-4.95733,0.76
-3.68347,-5.58458,0.76
-2.97201,-5.75433,0.75
-3.94404,-4.47526,0.76
-3.02907,-4.67876,0.76
-3.68027,-4.90437,0.76
-3.20505,-5.62097,0.75
-3.1174,-4.87751,0.76
-2.92299,-5.18629,0.75
-4.23534,-6.3427,0.75
-3.42348,-3.83324,0.76
-3.14595,-5.27764,0.76
-3.6782,-6.23244,0.75
-3.79743,-6.66491,0.76
-3.1449,-4.83439,0.76
-3.33437,-4.62131,0.75
-3.37076,-5.51115,0.76
-2.11559,-6.46634,0.73
-3.22914,-4.77905,0.76
-3.50003,-5.46273,0.76
-3.05068,-5.01231,0.76
-3.34124,-5.05652,0.76
-3.16398,-5.40051,0.76
-3.71136,-5.87145,0.75
-4.16564,-5.28399,0.76
-2.90477,-5.5242,0.76
-3.96658,-4.5165,0.76
-3.81336,-6.57483,0.75
-3.2132,-7.43015,0.72
-3.40757,-5.32985,0.76
-3.73845,-5.5112,0.75
-3.35498,-5.70926,0.75
-2.55865,-5.68651,0.73
-2.033,-5.58925,0.75
-2.00171,-6.67321,0.73
-3.38367,-5.09431,0.76
-4.20412,-5.70055,0.75
-3.14148,-4.85904,0.76
-3.88673,-5.42126,0.75
-4.0886,-5.97289,0.73
-3.09261,-5.45001,0.75
-2.80288,-5.55669,0.76
-4.00281,-5.1225,0.76
-4.11652,-7.63866,0.73
-2.9118,-5.10049,0.76
-3.54096,-4.58695,0.76
-2.90136,-4.53456,0.76
-3.93139,-5.94354,0.76
-4.02686,-5.27924,0.75
-3.53882,-4.85204,0.76
-3.55701,-4.44596,0.76
-3.47718,-5.84918,0.76
-3.65146,-4.4256,0.76
-2.54872,-4.59183,0.76
-4.93475,-6.20416,0.76
-3.75377,-5.65385,0.76
-3.20669,-4.39437,0.76
-3.61268,-5.46308,0.75
-3.56633,-5.09673,0.76
-2.44565,-6.18386,0.75
-3.75642,-5.06398,0.75
-2.5668,-4.97237,0.76
-2.3772,-4.5322,0.76
-3.0205,-5.60916,0.72
-3.79082,-5.00289,0.76
-3.77915,-4.87524,0.76
-2.76487,-4.8157,0.76
-3.28037,-5.26996,0.76
-3.55553,-5.54094,0.76
-2.87059,-4.43511,0.76
-2.48677,-4.68044,0.73
-2.32841,-4.62268,0.76
-4.21948,-4.711,0.76
-3.95819,-6.65187,0.73
-3.22537,-5.04547,0.76
-2.95445,-6.30933,0.72
-3.12715,-5.72682,0.76
-3.41125,-5.33876,0.75
-3.30043,-4.57524,0.76
-2.35974,-5.53643,0.76
-2.53244,-5.28788,0.73
-3.48003,-4.97253,0.76
-3.65839,-5.80903,0.75
-4.00215,-5.04047,0.76
-2.66603,-4.05727,0.76
-2.23706,-4.20623,0.76
-5.4171,-6.3185,0.75
-6.107,-8.57082,0.73
-3.55108,-5.28387,0.76
-3.20713,-4.75801,0.76
-4.12267,-6.27119,0.76
-2.90077,-4.37486,0.76
-2.431,-4.06723,0.76
-3.61754,-4.70859,0.76
-3.25268,-4.51066,0.76
-3.70671,-5.96613,0.75
-3.56581,-6.19425,0.75
-3.4917,-5.934,0.73
-2.67411,-5.33018,0.75
-4.48376,-5.80123,0.73
-3.61087,-5.77844,0.75
-2.88373,-4.89733,0.76
-3.63936,-5.10904,0.76
-3.19198,-4.59039,0.76
-3.66173,-5.26709,0.75
-3.74893,-4.59347,0.76
-2.5356,-4.47099,0.76
-3.48303,-4.55569,0.76
-3.73062,-5.63596,0.73
-3.45432,-4.94856,0.75
-3.12073,-7.65215,0.72
-3.28527,-5.71773,0.76
-3.19957,-5.94475,0.75
-3.12229,-5.60621,0.76
-3.17807,-4.74981,0.75
-3.11898,-5.17817,0.76
-5.09395,-6.82276,0.76
-5.11458,-5.63711,0.76
-3.22551,-4.89643,0.76
-3.48844,-5.2828,0.76
-2.63051,-4.20567,0.76
-3.29364,-5.39063,0.75
-2.69373,-5.85314,0.76
-3.37596,-5.24881,0.75
-2.8975,-5.09502,0.76
-3.7089,-7.49881,0.73
-3.37477,-5.05221,0.76
-2.82994,-5.11229,0.76
-3.62519,-5.55646,0.75
-3.58132,-5.00113,0.76
-4.70982,-5.2102,0.76
-2.07259,-6.08595,0.72
-2.72164,-5.20114,0.75
-3.68847,-5.02381,0.76
-4.35912,-5.73965,0.76
-3.47123,-6.68036,0.76
-2.94275,-5.23923,0.75
-3.76736,-5.1715,0.76
-3.50773,-4.86691,0.75
-1.51705,-5.29166,0.75
-4.00046,-5.64128,0.75
-4.60444,-5.09327,0.76
-3.42705,-5.80835,0.75
-4.1426,-5.82838,0.76
-2.91047,-5.09245,0.76
-2.88419,-5.24605,0.76
-5.91474,-5.96824,0.75
-3.71266,-5.71341,0.75
-2.70513,-5.35844,0.73
-4.05355,-6.85384,0.73
-4.21647,-5.49344,0.76
-3.72874,-5.09629,0.75
-3.39888,-5.51411,0.76
-3.43827,-4.67839,0.76
-2.89858,-4.09561,0.76
-3.03409,-5.15923,0.75
-3.75664,-5.84647,0.75
-4.04713,-5.36903,0.76
-3.90309,-5.27265,0.76
-3.90081,-5.55203,0.76
-3.05435,-4.85871,0.76
-3.28539,-4.80105,0.76
-3.71421,-6.19627,0.76
-4.05925,-6.08815,0.73
-3.29248,-5.6219,0.76
-3.31799,-5.92576,0.75
-4.18738,-3.92657,0.76
-3.03977,-4.54112,0.75
-2.88283,-6.20426,0.76
-5.05009,-4.68905,0.76
-2.96139,-4.89219,0.76
-4.07033,-4.46916,0.76
-2.87649,-5.30199,0.75
-2.90967,-6.71879,0.73
-4.44936,-5.86055,0.75
-1.91468,-6.69528,0.75
-3.194,-5.16073,0.76
-3.33923,-4.66191,0.76
-3.56984,-5.00693,0.75
-3.62681,-6.26321,0.76
-4.83335,-5.49267,0.76
-3.26731,-4.4354,0.76
-2.56228,-5.16919,0.73
-4.28954,-4.13426,0.76
-2.49132,-4.70309,0.73
-4.7685,-6.60042,0.76
-3.58922,-5.01775,0.76
-2.72781,-5.04051,0.76
-2.98953,-5.96229,0.75
-3.83198,-4.5663,0.75
-1.55971,-5.87086,0.75
-2.51008,-5.54398,0.73
-2.29543,-5.40334,0.73
-3.90246,-4.30504,0.76
-5.02812,-6.06816,0.75
-3.1894,-5.30309,0.76
-3.21011,-4.48017,0.76
-3.74504,-8.22241,0.72
-1.74043,-4.9066,0.76
-4.40098,-6.27252,0.76
-3.79527,-5.84117,0.75
-2.98297,-5.29771,0.76
-3.56487,-4.39751,0.76
-3.00997,-5.69798,0.76
-4.33436,-5.30175,0.76
-3.26891,-5.18994,0.76
-4.45733,-5.81726,0.75
-4.62222,-6.589,0.73
-4.87362,-4.72964,0.75
-3.37961,-4.33516,0.75
-3.42781,-5.27917,0.76
-3.29674,-5.70862,0.76
-3.60471,-5.15913,0.76
-3.26834,-5.37153,0.75
-2.3933,-5.20182,0.76
-2.08948,-7.75847,0.71
-3.04489,-4.56721,0.76
-3.39758,-3.9883,0.76
-2.81165,-4.95795,0.75
-5.37762,-8.2981,0.73
-3.01581,-5.43611,0.75
-3.82827,-5.20921,0.73
-3.22649,-5.48451,0.75
-2.78863,-6.1039,0.76
-1.8968,-5.15465,0.76
-3.90731,-5.99546,0.75
-3.27352,-5.26638,0.75
-2.87629,-5.77568,0.75
-3.35256,-5.60678,0.75
-2.76233,-3.71754,0.76
-2.9799,-5.53467,0.76
-2.67258,-5.81009,0.75
-3.17959,-4.94701,0.76
-2.65981,-5.54116,0.75
-3.80676,-4.20466,0.76
-3.21662,-5.09463,0.76
-3.13274,-4.6787,0.76
-3.17203,-4.96676,0.76
-3.9698,-5.09591,0.75
-2.81133,-4.59498,0.76
-2.95612,-4.90199,0.75
-3.27227,-5.20899,0.76
-3.2068,-5.32408,0.75
-4.11817,-4.8157,0.76
-3.30915,-4.46688,0.76
-1.8419,-5.30589,0.75
-2.70978,-5.68663,0.76
-2.92252,-5.03531,0.76
-3.28194,-4.63997,0.76
-3.50827,-4.69797,0.76
-3.88226,-4.63369,0.75
-2.89112,-5.61363,0.76
-2.58053,-5.46505,0.75
-3.86367,-5.28725,0.76
-2.63921,-5.02887,0.76
-4.13643,-5.75081,0.73
-4.20134,-4.28902,0.76
-2.48597,-5.81354,0.73
-2.81433,-4.37059,0.76
-3.33485,-5.51124,0.76
-3.38826,-5.21969,0.76
-3.5496,-5.19982,0.75
-3.52196,-5.5176,0.76
-3.15254,-3.86735,0.76
-3.82706,-5.14489,0.76
-3.93108,-6.90801,0.73
-3.91739,-4.92333,0.76
-2.52917,-5.26625,0.76
-2.08891,-4.70274,0.76
-4.08525,-4.35471,0.76
-3.52582,-5.59683,0.76
-2.59343,-4.90483,0.76
-3.58744,-4.28751,0.76
-2.02165,-6.09852,0.76
-3.67729,-5.71539,0.76
-3.28553,-5.00688,0.75
-2.88525,-5.69446,0.75
-3.08654,-5.44717,0.76
-2.79225,-6.30578,0.73
-3.85202,-5.19178,0.76
-3.43919,-4.97315,0.75
-4.65976,-6.4998,0.76
-4.13091,-6.0845,0.76
-3.79385,-4.59123,0.76
-5.14385,-6.3212,0.75
-2.28938,-5.75198,0.73
-1.53258,-5.56009,0.73
-4.30018,-6.41207,0.75
-1.78803,-5.92293,0.76
-3.43472,-5.7977,0.73
-2.20288,-5.288,0.76
-3.30158,-6.6554,0.73
-2.77041,-5.07766,0.75
-4.53964,-6.60932,0.73
-2.78397,-4.76377,0.76
-3.42916,-5.37019,0.75
-3.24334,-5.03345,0.75
-3.38,-5.13895,0.76
-4.21365,-5.03754,0.76
-3.26614,-5.47753,0.76
-2.28191,-5.18814,0.76
-3.55088,-6.39742,0.73
-3.2177,-6.07671,0.75
-3.15041,-4.20185,0.76
-3.67708,-6.13428,0.76
-3.33829,-5.60524,0.76
-3.86032,-4.9247,0.76
-2.77719,-4.71595,0.76
-3.16802,-5.31281,0.76
-4.14738,-5.13273,0.76
-3.79839,-5.22729,0.76
-2.79409,-6.22412,0.75
-2.81347,-4.89702,0.76
-3.37797,-5.72478,0.76
-4.23208,-5.7396,0.76
-4.07128,-5.57877,0.76
-3.36648,-6.35834,0.75
-3.83949,-5.36498,0.75
-2.75508,-6.41038,0.75
-2.36142,-4.89097,0.73
-3.81891,-5.61863,0.76
-2.43093,-7.17768,0.73
-3.34536,-4.82927,0.76
-3.25203,-4.8932,0.76
-3.22299,-5.36383,0.75
-3.61394,-6.68231,0.72
-3.48261,-4.84621,0.76
-2.36404,-4.52173,0.76
-4.15601,-4.69015,0.76
-2.67281,-4.54707,0.76
-3.36999,-5.78278,0.75
-3.30688,-5.32767,0.75
-3.27956,-4.59391,0.76
-3.14931,-5.37555,0.75
-4.21757,-5.5251,0.76
-3.22513,-4.66615,0.75
-2.80004,-4.66751,0.76
-2.47864,-4.49796,0.75
-2.59829,-4.40172,0.76
-3.08314,-4.72808,0.76
-3.7255,-6.71678,0.73
-3.18777,-5.17462,0.76
-3.35497,-4.36081,0.76
-4.37286,-5.81124,0.76
-4.00785,-5.15724,0.75
-4.57527,-5.68672,0.76
-4.05301,-5.22468,0.76
-2.81459,-4.9846,0.76
-4.15749,-4.16838,0.76
-3.09817,-4.26616,0.76
-4.33652,-6.26891,0.76
-3.57099,-5.51936,0.75
-3.47765,-5.53279,0.76
-2.07907,-4.90978,0.75
-4.26783,-5.75121,0.76
-3.66433,-5.2903,0.76
-2.10329,-4.81186,0.75
-3.71295,-5.22122,0.76
-3.58068,-5.00979,0.76
-2.6594,-4.68839,0.76
-3.75946,-5.17066,0.75
-2.71334,-5.78384,0.75
-3.40542,-5.64462,0.75
-3.08831,-4.81761,0.76
-3.36292,-5.93946,0.73
-3.14716,-5.09113,0.73
-2.97253,-5.09588,0.76
-3.93687,-5.64689,0.76
-3.90863,-5.22049,0.75
-3.11906,-4.42547,0.76
-3.45598,-5.46095,0.76
-2.25642,-4.12179,0.76
-3.67341,-5.56924,0.76
-3.32318,-3.60544,0.76
-3.74675,-4.99779,0.76
-3.02859,-4.0562,0.75
-3.57964,-4.56728,0.76
-3.4035,-5.99231,0.73
-4.19644,-6.38958,0.73
-2.69872,-5.30141,0.76
-2.95996,-4.73848,0.73
-3.61913,-5.44538,0.76
-3.03063,-6.22465,0.75
-2.41449,-4.21006,0.76
-2.68845,-4.93862,0.76
-2.64254,-5.3763,0.73
-3.57871,-5.18509,0.76
-4.0814,-6.00803,0.75
-3.56801,-6.32781,0.76
-3.64706,-5.6468,0.75
-2.55603,-5.80744,0.72
-4.86757,-6.0388,0.76
-2.7748,-5.24529,0.76
-3.64816,-5.03325,0.76
-4.13144,-6.35305,0.75
-2.37881,-5.96081,0.75
-2.49559,-5.48211,0.76
-4.29577,-5.68498,0.75
-3.28364,-4.97355,0.76
-2.49412,-4.3542,0.76
-3.80392,-6.30929,0.75
-3.09326,-5.9726,0.76
-4.19738,-6.07854,0.73
-3.77184,-5.25758,0.76
-3.41047,-5.45266,0.76
-2.19531,-5.32441,0.76
-3.14231,-5.04516,0.76
-2.87858,-6.19452,0.76
-1.93526,-5.23993,0.76
-1.912,-5.278,0.75
-3.83313,-6.13965,0.76
-3.53811,-4.91431,0.76
-3.74848,-4.88185,0.76
-3.68324,-6.17894,0.75
-2.75204,-6.41035,0.73
-3.21816,-4.00194,0.76
-3.2069,-4.28703,0.76
-3.69744,-5.97521,0.75
-3.50511,-4.19439,0.76
-3.6793,-5.56034,0.76
-4.09994,-6.76349,0.76
-3.5163,-5.55743,0.76
-3.24974,-5.76395,0.76
-3.63253,-4.60324,0.76
-4.31653,-8.01149,0.73
-4.05863,-6.81048,0.75
-2.40842,-4.62559,0.75
-3.77572,-5.68986,0.76
-2.63911,-5.76961,0.75
-3.07644,-5.30654,0.75
-2.87992,-5.58009,0.73
-2.94307,-4.69673,0.75
-3.45638,-4.47931,0.76
-3.24727,-4.79676,0.76
-3.23891,-6.61154,0.76
-2.8575,-4.43477,0.76
-3.01458,-5.84391,0.76
-3.46392,-4.75487,0.76
-3.31831,-4.69367,0.76
-3.46811,-4.23227,0.75
-3.41825,-5.20048,0.75
-2.76572,-5.09745,0.76
-4.07694,-4.71131,0.76
-3.28516,-5.0554,0.76
-1.65108,-4.53224,0.76
-4.41933,-5.61047,0.76
-2.50764,-4.87205,0.76
-3.71622,-5.90464,0.76
-3.98554,-5.18328,0.76
-3.78177,-5.82243,0.73
-2.90473,-3.74756,0.76
-2.33445,-4.73163,0.75
-3.93524,-6.68126,0.75
-2.51365,-4.7402,0.75
-3.76156,-6.89784,0.75
-2.92318,-6.04357,0.75
-3.69555,-5.20353,0.76
-3.27315,-5.31211,0.76
-2.63577,-4.79025,0.76
-2.90404,-6.27213,0.73
-3.98919,-5.23335,0.76
-2.69768,-5.4224,0.73
-2.75179,-5.52599,0.76
-2.90485,-6.39184,0.72
-4.64945,-5.70219,0.76
-3.37685,-5.01062,0.75
-2.95147,-6.39561,0.75
-0.644971,-5.42963,0.73
-2.81321,-5.06354,0.75
-4.21505,-5.05948,0.76
-2.7572,-5.11739,0.76
-3.51773,-4.88306,0.76
-1.79517,-4.58531,0.73
-3.39554,-5.17553,0.76
-2.74909,-4.45517,0.76
-3.38396,-4.7711,0.76
-2.41499,-5.31573,0.75
-2.88532,-5.91351,0.73
-3.7129,-4.93952,0.75
-4.72079,-6.69612,0.76
-3.49227,-5.63995,0.75
-3.4391,-5.11876,0.75
-3.0699,-5.41206,0.76
-3.48508,-6.79773,0.73
-3.75357,-5.57973,0.76
-3.07199,-3.83495,0.76
-2.70641,-5.26808,0.76
-3.87615,-4.84714,0.76
-3.46371,-5.47938,0.75
-3.29242,-6.51622,0.73
-2.77249,-4.38142,0.76
-3.32718,-4.54195,0.76
-3.65063,-3.82803,0.76
-3.2958,-4.25987,0.76
-2.96224,-4.80129,0.75
-4.09862,-5.66412,0.75
-2.6701,-5.62309,0.75
-2.37063,-4.44813,0.76
-3.33571,-5.02809,0.76
-3.38549,-5.333,0.76
-3.55212,-6.52949,0.76
-4.05206,-6.04588,0.75
-2.04252,-4.77786,0.76
-3.18125,-4.79296,0.76
-3.25073,-5.1143,0.76
-2.86456,-4.53163,0.76
-3.00818,-4.53349,0.76
-3.22866,-4.06352,0.76
-3.03354,-5.20136,0.76
-4.34468,-5.59239,0.75
-3.51892,-5.48499,0.73
-2.59539,-5.21405,0.76
-3.28858,-5.37403,0.76
-3.17042,-4.93427,0.76
-2.71537,-4.72123,0.76
-3.5874,-4.45079,0.76
-2.33772,-5.76382,0.76
-3.90333,-5.14079,0.76
-4.22655,-5.98499,0.76
-4.03296,-5.76548,0.76
-3.25622,-4.2538,0.76
-3.26343,-6.19693,0.73
-3.93879,-4.19922,0.76
-3.30911,-4.95123,0.75
-2.92173,-5.196,0.75
-3.05173,-5.55998,0.76
-2.82764,-4.58819,0.76
-2.03592,-4.30023,0.76
-3.20802,-4.80504,0.76
-3.07412,-5.47079,0.73
-3.53106,-5.76413,0.76
-2.30244,-5.51031,0.73
-3.14538,-4.65706,0.76
-3.40235,-5.05405,0.76
-2.81747,-4.64031,0.76
-2.25523,-5.01307,0.75
-2.52721,-4.85485,0.76
-4.03501,-5.65386,0.76
-3.65841,-6.56455,0.75
-3.37561,-4.66682,0.76
-5.11603,-6.18118,0.76
-3.31494,-4.83831,0.75
-2.94859,-4.60174,0.76
-3.53608,-4.87117,0.76
-3.44125,-5.92044,0.76
-4.00625,-4.68994,0.76
-3.80773,-4.71299,0.76
-4.23667,-5.71353,0.76
-3.12023,-5.90691,0.75
-4.24053,-5.56195,0.76
-4.16943,-5.53129,0.76
-3.3853,-6.18964,0.76
-3.9175,-4.94351,0.76
-2.60347,-4.74433,0.76
-1.91416,-4.92112,0.75
-2.94663,-6.38942,0.75
-2.03811,-5.35407,0.75
-2.87136,-4.71916,0.75
-3.13492,-4.63743,0.76
-3.40793,-5.72553,0.75
-4.13707,-4.80068,0.76
-3.11305,-4.49882,0.76
-2.41092,-4.85886,0.76
-2.53674,-6.44479,0.73
-3.35,-4.32272,0.76
-3.8888,-4.32329,0.75
-3.19999,-5.54082,0.76
-3.14011,-6.28009,0.73
-3.85645,-4.50105,0.76
-3.00276,-5.24675,0.76
-2.59562,-5.77106,0.76
-2.98494,-6.56661,0.75
-4.18237,-6.40027,0.76
-3.50686,-4.09873,0.76
-3.40568,-5.21193,0.76
-3.15352,-5.12877,0.73
-2.38015,-5.37221,0.76
-1.96851,-5.51669,0.73
-2.77565,-4.31135,0.76
-4.59586,-6.3741,0.75
-2.92651,-5.76949,0.76
-4.14886,-5.92128,0.76
-2.72436,-4.18152,0.76
-2.53975,-5.00664,0.76
-3.72172,-4.63923,0.76
-2.31815,-4.50444,0.76
-4.38306,-5.65629,0.76
-4.19464,-5.74422,0.76
-3.07997,-6.41908,0.76
-4.68135,-6.05223,0.76
-3.17283,-5.04981,0.76
-2.76929,-4.90732,0.75
-3.32979,-5.46078,0.76
-3.17103,-5.32754,0.76
-4.02266,-6.73566,0.76
-3.77534,-5.872,0.75
-4.51441,-5.94962,0.76
-3.72006,-6.06426,0.75
-3.36288,-5.01703,0.75
-3.29869,-4.4208,0.76
-3.61635,-5.31746,0.75
-2.85819,-5.77231,0.76
-3.62553,-5.65967,0.76
-3.62681,-5.945,0.76
-3.13907,-4.63893,0.75
-3.83589,-6.70758,0.76
-3.43676,-5.43969,0.76
-3.5141,-5.0042,0.76
-3.39667,-6.10831,0.73
-3.14526,-4.66233,0.76
-3.16342,-5.85285,0.73
-3.77592,-6.13767,0.75
-3.23734,-5.48885,0.76
-2.32812,-4.66435,0.76
-3.66996,-5.7284,0.76
-3.37103,-5.53088,0.76
-2.57662,-5.60569,0.76
-3.9299,-4.69489,0.75
-3.81987,-5.19399,0.76
-4.75339,-6.05319,0.76
-2.75275,-7.0513,0.71
-2.46071,-5.39922,0.75
-2.03027,-5.43971,0.75
-3.67736,-6.34359,0.73
-3.74284,-5.09323,0.76
-2.92963,-4.62546,0.76
-3.06341,-5.38396,0.76
-2.50493,-4.84407,0.73
-2.67353,-5.71459,0.76
-2.53237,-7.63547,0.71
-2.6631,-5.88258,0.75
-3.99648,-5.19197,0.76
-3.83987,-7.33872,0.73
-2.61809,-5.59191,0.73
-4.36182,-5.64316,0.76
-3.41526,-4.98024,0.75
-2.69881,-4.24327,0.76
-2.95864,-5.55014,0.76
-4.55035,-6.16274,0.76
-3.54796,-6.22887,0.76
-3.91829,-5.00949,0.76
-3.09273,-4.26454,0.76
-3.41754,-6.12051,0.73
-4.34054,-4.43357,0.76
-3.87441,-4.84675,0.76
-2.82345,-5.83046,0.76
-3.16137,-4.88252,0.75
-3.14109,-6.59129,0.75
-3.53075,-4.83004,0.76
-2.90383,-4.15711,0.76
-2.38441,-4.93018,0.76
-3.66286,-4.66711,0.75
-4.64819,-5.70421,0.75
-3.06227,-4.41905,0.75
-3.11204,-6.60827,0.76
-3.87435,-5.77409,0.73
-2.73919,-5.15482,0.73
-3.24215,-4.8208,0.76
-3.2773,-5.75682,0.76
-2.4739,-4.17898,0.76
-2.96764,-4.85379,0.75
-2.45455,-5.81314,0.73
-3.56231,-6.18865,0.75
-3.08112,-5.81509,0.73
-4.05795,-5.29429,0.76
-1.65702,-4.57115,0.76
-3.36504,-4.44138,0.76
-3.92386,-6.72469,0.75
-4.08266,-4.29205,0.76
-3.17656,-6.68789,0.73
-3.21099,-4.89334,0.75
-3.21241,-5.62615,0.76
-3.88505,-4.74566,0.75
-3.47283,-4.0987,0.76
-2.54568,-6.23175,0.73
-3.90085,-4.33825,0.76
-1.90269,-4.69351,0.76
-3.70024,-5.98457,0.75
-2.55009,-5.01551,0.76
-2.95973,-5.57329,0.76
-3.25044,-5.05844,0.76
-3.30193,-5.72833,0.73
-4.88059,-5.9098,0.76
-3.24666,-4.7022,0.76
-2.91148,-5.39458,0.75
-4.1694,-7.42724,0.73
-3.55816,-5.46923,0.76
-2.4071,-4.82213,0.76
-2.65855,-5.41974,0.76
-4.27627,-6.56688,0.73
-3.4418,-5.83847,0.76
-3.76084,-4.2309,0.75
-1.96479,-4.96017,0.76
-4.57318,-6.06554,0.76
-3.00365,-4.99827,0.75
-2.43538,-4.44981,0.75
-2.41057,-4.88954,0.76
-2.45455,-4.46822,0.76
-1.51152,-4.88897,0.76
-2.76486,-5.11511,0.76
-3.64178,-4.63135,0.76
-4.89525,-6.42771,0.76
-2.92876,-3.78662,0.76
-3.03094,-4.42565,0.76
-2.60013,-4.2864,0.76
-2.57499,-5.0955,0.75
-4.26995,-5.72071,0.76
-4.66148,-6.2979,0.73
-3.46745,-5.85582,0.75
-4.11619,-5.57353,0.75
-2.50369,-5.3535,0.76
-3.58422,-5.37341,0.73
-3.92241,-4.09674,0.76
-2.87373,-5.45845,0.76
-4.47208,-5.37063,0.75
-3.01755,-5.39119,0.76
-2.65708,-5.11976,0.76
-2.40846,-5.06792,0.75
-2.8328,-4.68522,0.76
-3.85548,-5.77657,0.76
-3.84336,-5.84759,0.75
-2.49103,-5.45063,0.76
-3.58674,-5.48893,0.76
-3.71388,-5.00076,0.75
-3.52726,-5.72843,0.76
-3.01588,-5.61338,0.76
-3.58278,-6.66075,0.76
-2.64593,-4.66855,0.75
-1.90044,-5.3459,0.73
-4.01931,-5.93713,0.73
-2.12234,-4.60672,0.76
-4.01014,-5.36304,0.76
-2.77415,-5.41156,0.76
-3.57012,-4.7669,0.76
-1.50421,-7.04995,0.73
-2.81844,-4.20063,0.75
-2.59139,-5.34223,0.76
-1.94461,-4.97878,0.76
-3.34641,-5.58056,0.73
-3.42494,-5.67138,0.76
-4.10302,-4.75378,0.76
-3.92905,-6.50747,0.76
-3.02527,-5.32411,0.76
-3.43569,-5.91098,0.75
-2.6241,-6.49326,0.73
-2.80737,-4.89091,0.76
-3.62165,-4.88466,0.76
-4.07238,-7.45984,0.72
-3.54085,-4.3654,0.76
-2.91825,-5.86682,0.73
-2.70376,-4.41887,0.76
-3.39747,-5.32146,0.75
-3.03218,-4.58283,0.76
-3.0871,-5.34552,0.76
-3.37925,-4.98332,0.76
-3.77517,-5.56127,0.76
-3.43836,-4.78605,0.76
-3.013,-5.21298,0.75
-3.62298,-6.97597,0.73
-2.91203,-5.5056,0.75
-2.68524,-5.38671,0.76
-3.18078,-4.56358,0.76
-2.69945,-5.00382,0.76
-3.51261,-5.23149,0.76
-2.22915,-5.3505,0.76
-3.87154,-5.8297,0.76
-2.72605,-4.62434,0.76
-3.17074,-5.53144,0.76
-3.19131,-5.90706,0.76
-3.3372,-4.6652,0.76
-3.69309,-5.52529,0.76
-2.98293,-3.96236,0.76
-5.19349,-5.92585,0.75
-2.63987,-4.66968,0.76
-3.59358,-4.71098,0.76
-3.31923,-5.19684,0.76
-4.39379,-6.39117,0.75
-1.50845,-4.99768,0.76
-3.2507,-5.41075,0.76
-3.84451,-6.46183,0.73
-1.94116,-6.70165,0.72
-3.34242,-5.43832,0.76
-2.24472,-4.62272,0.76
-4.56483,-5.59406,0.76
-4.56869,-6.4544,0.75
-2.91097,-6.83021,0.73
-4.02724,-4.11805,0.76
-4.37247,-4.78125,0.75
-3.63155,-5.10347,0.75
-2.56711,-5.60337,0.76
-3.87367,-5.37126,0.75
-4.03842,-6.16897,0.75
-4.23323,-6.42125,0.73
-4.10789,-6.06839,0.75
-4.25788,-6.37725,0.76
-3.13766,-5.03478,0.76
-2.29437,-4.64101,0.76
-4.42707,-5.2996,0.76
-3.16195,-4.99807,0.76
