b_rCCI,b_QYBL,threshold
-3.14181,-5.03866,0.75
-3.61516,-5.28991,0.76
-2.62488,-4.32253,0.76
-3.26529,-4.64114,0.76
-3.34008,-4.32441,0.76
-4.15415,-7.50076,0.76
-3.12698,-4.75588,0.76
-3.06051,-4.59163,0.76
-3.32299,-4.31046,0.76
-2.94014,-5.59958,0.75
-3.85624,-5.16136,0.75
-3.2839,-6.71083,0.75
-4.15058,-6.44868,0.73
-3.45827,-5.53925,0.76
-3.02054,-5.82187,0.75
-2.26592,-5.22683,0.73
-3.49209,-6.25487,0.76
-4.19417,-5.29691,0.76
-3.05177,-5.82403,0.75
-4.09654,-5.6035,0.75
-4.80663,-5.45746,0.76
-3.03406,-5.2438,0.76
-3.3675,-6.14813,0.73
-2.42251,-5.17028,0.76
-2.6187,-5.27286,0.75
-2.96903,-6.86985,0.73
-2.5613,-4.20638,0.76
-4.31836,-3.61545,0.76
-3.98443,-4.60919,0.75
-3.413,-5.68578,0.76
-3.02533,-5.33826,0.76
-4.25113,-5.25156,0.76
-4.35567,-7.57698,0.75
-2.5877,-4.22138,0.76
-3.77251,-5.99734,0.75
-4.773,-6.96724,0.76
-2.27592,-7.41647,0.76
-3.65466,-6.37369,0.76
-4.06542,-5.32333,0.76
-3.11039,-5.79614,0.76
-5.29784,-5.6026,0.75
-3.23443,-5.09016,0.76
-3.27531,-5.31061,0.76
-3.15345,-5.37081,0.76
-3.42909,-6.43524,0.75
-1.93682,-5.33273,0.76
-3.09686,-6.04519,0.75
-3.35509,-5.2959,0.75
-3.00244,-5.05536,0.75
-1.63253,-5.54959,0.73
-3.08146,-4.71232,0.76
-3.83425,-6.22108,0.76
-3.01336,-4.43087,0.76
-2.72714,-5.94499,0.75
-2.81084,-4.61392,0.76
-3.07369,-6.20362,0.73
-3.57548,-4.59219,0.76
-2.86514,-6.09133,0.73
-4.05301,-5.7267,0.75
-4.14366,-5.34447,0.75
-5.53308,-6.2576,0.76
-2.84574,-3.95669,0.76
-3.59174,-5.07451,0.76
-3.09411,-6.16419,0.73
-2.41885,-5.01556,0.76
-2.67763,-6.90528,0.72
-3.68625,-6.02286,0.73
-2.8726,-4.32374,0.76
-3.43753,-5.77786,0.75
-2.89142,-5.50789,0.75
-2.4285,-5.50266,0.76
-4.05508,-4.37655,0.76
-4.38899,-5.42003,0.76
-3.7417,-4.72185,0.76
-2.89716,-4.93466,0.76
-2.84617,-4.72825,0.76
-3.12962,-4.94245,0.76
-2.79983,-4.4492,0.75
-3.87396,-5.17169,0.76
-3.16765,-5.6001,0.75
-3.35079,-4.09351,0.76
-3.72379,-6.00271,0.75
-3.65209,-6.90032,0.75
-3.59483,-5.91494,0.76
-3.46461,-5.23307,0.75
-3.45487,-6.23276,0.76
-3.01969,-3.68935,0.76
-4.14203,-6.52706,0.76
-3.17376,-4.3107,0.76
-3.23532,-5.4503,0.73
-3.14885,-4.72835,0.76
-3.29844,-5.12708,0.76
-1.94389,-5.73492,0.75
-2.89168,-5.07758,0.76
-2.44122,-4.53691,0.76
-4.19276,-7.11401,0.73
-3.78985,-5.35605,0.76
-3.95488,-3.99069,0.76
-4.28778,-4.94501,0.75
-3.82731,-4.46619,0.76
-3.23806,-6.40268,0.72
-3.09596,-7.30007,0.73
-2.63889,-5.50147,0.75
-3.55205,-5.67429,0.76
-2.61568,-4.41855,0.76
-2.6635,-3.73657,0.76
-2.05486,-5.34499,0.75
-3.72885,-6.35521,0.73
-3.05665,-4.46087,0.76
-2.46883,-4.59335,0.75
-1.84833,-5.2543,0.75
-3.12209,-3.82995,0.76
-3.14466,-4.78295,0.73
-3.5632,-5.58194,0.75
-3.77318,-4.68467,0.76
-2.51664,-4.59625,0.76
-2.50486,-4.48845,0.75
-3.03522,-5.99941,0.75
-3.5484,-5.62413,0.75
-2.89392,-4.73146,0.76
-2.20554,-5.02189,0.76
-3.32421,-5.75057,0.76
-2.53094,-4.6959,0.76
-4.57433,-5.88321,0.75
-3.56265,-5.70092,0.76
-3.48496,-4.95908,0.75
-0.919811,-6.41923,0.72
-3.25461,-5.43945,0.75
-3.7119,-5.15157,0.76
-3.87546,-5.2458,0.76
-3.26277,-4.3986,0.76
-3.53132,-6.15343,0.76
-2.24834,-4.51821,0.76
-3.23092,-5.89732,0.75
-3.15549,-5.32409,0.76
-2.71385,-4.72459,0.76
-2.63282,-6.19032,0.73
-3.5972,-5.76292,0.75
-3.14256,-5.63453,0.76
-2.96194,-4.88766,0.76
-5.37748,-7.86405,0.73
-3.18488,-5.62014,0.75
-4.30964,-6.82818,0.76
-2.35247,-6.03211,0.72
-2.2572,-6.25636,0.75
-3.25767,-5.48148,0.75
-3.42376,-6.4827,0.75
-3.58655,-4.22052,0.76
-4.41729,-7.27541,0.75
-2.65449,-5.23272,0.76
-3.53901,-5.56106,0.76
-3.90465,-5.08394,0.76
-3.77214,-6.06727,0.73
-2.874,-4.51654,0.76
-2.31069,-5.27689,0.75
-3.39137,-5.6018,0.76
-2.69009,-3.75947,0.76
-2.985,-3.7922,0.76
-2.83559,-5.70393,0.73
-3.34296,-5.40926,0.76
-2.63531,-4.06577,0.76
-3.59164,-5.526,0.76
-3.73774,-4.43538,0.76
-2.58276,-5.38682,0.76
-3.73046,-4.84335,0.76
-4.05378,-6.39255,0.75
-4.12704,-4.10757,0.76
-2.72524,-5.18477,0.75
-3.69584,-5.24009,0.76
-3.39522,-4.92798,0.76
-2.77857,-5.36483,0.73
-3.48467,-5.25747,0.75
-3.34181,-4.41254,0.75
-2.80261,-6.19646,0.73
-3.5203,-6.12465,0.75
-2.01901,-5.45302,0.76
-3.15745,-3.88873,0.76
-4.3745,-6.44079,0.75
-2.89889,-5.07683,0.76
-3.18637,-4.76491,0.76
-2.44576,-5.3801,0.76
-4.13672,-5.46581,0.75
-2.77762,-5.27271,0.76
-3.76173,-4.94396,0.76
-3.43734,-4.91103,0.76
-2.81345,-4.10665,0.75
-1.87787,-4.91284,0.75
-2.66513,-5.80111,0.73
-3.44211,-4.88253,0.76
-3.1306,-4.86168,0.76
-3.90214,-5.54926,0.75
-2.72071,-5.85375,0.73
-2.49927,-5.02885,0.76
-3.44603,-4.84985,0.76
-3.13051,-4.77127,0.76
-4.06924,-6.05017,0.76
-3.55626,-5.24355,0.76
-3.3701,-5.20168,0.76
-3.52324,-4.84716,0.76
-2.87778,-5.0585,0.76
-2.52913,-5.71613,0.75
-2.96356,-5.50621,0.73
-2.4114,-5.29771,0.76
-3.26148,-7.19175,0.73
-3.1765,-5.50139,0.76
-2.90881,-5.53998,0.76
-3.6375,-5.25725,0.76
-2.81326,-6.05543,0.76
-3.37896,-5.23658,0.75
-3.44134,-4.90364,0.76
-2.61141,-5.07984,0.76
-2.72984,-5.39003,0.76
-4.22867,-4.59259,0.76
-3.67054,-4.85565,0.76
-3.17877,-5.25929,0.75
-2.7233,-4.75364,0.76
-2.97586,-5.10978,0.75
-4.87922,-6.995,0.73
-2.98318,-3.9535,0.76
-4.25949,-5.42227,0.76
-2.84436,-5.37058,0.75
-3.0159,-4.88205,0.75
-2.70247,-5.14567,0.76
-2.79274,-4.77412,0.76
-3.07827,-4.60087,0.76
-3.14183,-5.26248,0.76
-2.75938,-5.56388,0.76
-2.91136,-4.96771,0.76
-3.86549,-5.88938,0.75
-3.71114,-5.60527,0.75
-3.99245,-6.02322,0.75
-3.46215,-4.33999,0.76
-3.7535,-5.39535,0.76
-3.68232,-6.08168,0.76
-2.62821,-5.67861,0.75
-3.76012,-5.85317,0.76
-2.67027,-5.16478,0.73
-3.67491,-5.26926,0.76
-2.97302,-5.25249,0.76
-2.76557,-4.74623,0.76
-4.28321,-5.36068,0.76
-4.00998,-5.81589,0.75
-4.01075,-5.74959,0.76
-2.78227,-4.16108,0.76
-2.78824,-6.36089,0.73
-2.31156,-5.01199,0.76
-3.09576,-3.66562,0.76
-3.24409,-6.18962,0.73
-3.11835,-5.33432,0.76
-3.88229,-5.90184,0.75
-3.27679,-4.10911,0.75
-4.37799,-4.67356,0.76
-2.90701,-4.36494,0.76
-2.98091,-5.89435,0.73
-4.72893,-5.19503,0.76
-3.14002,-5.71888,0.73
-3.33292,-5.57958,0.76
-2.33559,-6.62467,0.75
-2.53399,-4.97029,0.76
-2.84415,-4.91405,0.76
-3.26443,-5.44681,0.75
-4.33356,-6.77333,0.73
-3.70296,-4.16123,0.76
-3.80638,-4.63623,0.76
-3.2631,-5.3858,0.75
-2.66896,-4.43025,0.76
-3.78714,-5.43134,0.75
-3.45826,-4.65688,0.76
-2.87257,-5.17037,0.76
-3.15112,-6.35133,0.73
-4.95368,-7.73717,0.73
-3.35071,-5.65752,0.75
-2.75239,-4.90472,0.75
-3.27622,-4.584,0.76
-4.1655,-5.43341,0.76
-3.10619,-5.064,0.76
-1.55613,-5.54258,0.73
-4.09641,-5.42686,0.75
-3.78728,-5.92601,0.76
-3.64612,-5.09897,0.76
-3.49782,-6.49852,0.73
-2.92425,-4.63207,0.76
-2.8323,-4.72931,0.76
-3.83414,-4.87313,0.76
-3.00394,-5.03967,0.76
-4.15992,-5.22972,0.76
-3.17624,-5.40771,0.73
-4.49384,-4.91497,0.76
-3.81772,-5.63981,0.76
-3.3286,-5.62023,0.76
-2.94962,-4.65241,0.76
-2.44326,-5.24806,0.76
-3.87688,-4.69043,0.75
-3.70036,-4.59088,0.76
-4.38271,-5.86028,0.76
-3.78363,-5.86415,0.76
-2.70376,-5.23064,0.76
-2.68703,-6.00538,0.75
-4.37114,-5.84172,0.75
-2.17191,-4.77307,0.76
-4.20559,-5.37282,0.76
-3.20667,-5.49115,0.76
-2.39312,-4.6875,0.76
-3.72052,-4.67085,0.76
-2.58777,-4.44638,0.75
-2.92223,-5.44207,0.76
-4.0161,-5.24096,0.76
-3.51682,-6.2813,0.73
-3.11667,-5.42136,0.76
-3.34704,-4.99228,0.75
-3.70669,-5.2895,0.73
-3.45218,-5.15129,0.75
