trait,raw_column,n,df_G,F_G,p_G,historical_F_G,df_T,F_T,p_T,historical_F_T,df_GxT,F_GxT,p_GxT,df_e,source
CCI_TL_30,CCI_TL_30,90,14,57.2435,2.48884e-29,57.24,1,0.0925353,0.762031,0.09,14,38.5721,1.05729e-24,60,"Abstract: ""did not separate the regimes at 30 DAT (F = 0.09)""; ""cut the genotype F from 57.24 to 5.34"""
CCI_TL_60,CC_TL_60,90,14,38.2084,1.35782e-24,,1,476.987,3.03064e-30,476.38,14,22.3739,1.08197e-18,60,"Abstract: ""did by 60 DAT (F = 476.38)"""
