candidate,control_lo,control_hi,lowN_lo,lowN_hi,gap,control_range,cohens_d,corr_with_rCCI,corr_p,within_treatment_corr,measurement_sd,gap_in_measurement_sd,readings_needed
QY_BL,0.816667,0.846667,0.606667,0.743333,0.073334,0.03,5.93306,0.874818,2.60152e-10,0.0300901,0.01,7.3334,1
rQY,0.980392,1.02048,0.830685,0.942451,0.037941,0.040088,3.94418,0.851822,2.3777e-09,0.0781877,0.0174385,2.17571,2
