trait,n,n_genotypes,n_treatments,n_reps,mean,sd,cv_pct,df_G,MS_G,F_G,p_G,df_T,MS_T,F_T,p_T,df_GxT,MS_GxT,F_GxT,p_GxT,df_e,MS_e,var_G,var_T,var_GxT,var_e,var_P,var_G_raw,var_GxT_raw,H2_broad,pct_var_G,pct_var_T,pct_var_GxT,pct_var_e
rCCI_30,90,15,2,3,0.757998,0.195878,25.8415,14,0.0241589,5.34369,1.89837e-06,1,2.60451,576.089,1.86572e-32,14,0.0143406,3.17198,0.000927466,60,0.00452102,0.00163639,0.0575593,0.00327319,0.00452102,0.0669899,0.00163639,0.00327319,0.0244274,2.44274,85.9224,4.8861,6.74881
QY_BL_30,90,15,2,3,0.745889,0.0928439,12.4474,14,0.00252111,7.06854,2.59019e-08,1,0.674268,1890.47,4.54961e-47,14,0.00258683,7.25278,1.68783e-08,60,0.000356667,0,0.0149262,0.000743386,0.000356667,0.0160263,-1.09524e-05,0.000743386,0,0,93.136,4.63854,2.22551
