genotype_code	genotype_name	treatment	timepoint	trait_group	supp_table_printed	docx_table	trait	value	se	tukey_letters
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PH	35.50	0.15	defg
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LN	3.67	0.00	ab
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLL	22.47	0.62	bcdef
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLW	0.37	0.07	bcded
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLL	17.47	0.68	cd
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLW	0.17	0.04	cd
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLL	0.78	0.01	bcd
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLW	0.45	0.13	bcdef
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SFW	0.58	0.02	ab
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RFW	0.20	0.01	cde
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SDW	0.20	0.01	a
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RDW	0.08	0.00	bcd
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Photo	12.11	1.62	c
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Cond	0.28	0.03	bc
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Ci	243.12	24.60	bc
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Tr	4.59	0.55	c
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RL	121.44	31.43	def
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PA	5.19	1.66	fg
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SA	0.43	0.07	de
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	AD	121.44	32.84	def
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LPV	0.17	0.06	de
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RV	121.44	32.84	def
1	Moroberakan	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TPS	544.67	149.70	efg
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PH	32.20	22.02	fg
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LN	4.00	1.73	a
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLL	20.13	11.26	def
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLW	0.55	0.29	ab
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLL	10.37	4.60	ef
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLW	0.37	0.14	ab
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLL	0.53	0.24	bcd
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLW	0.64	0.25	abcdef
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SFW	0.59	0.26	ab
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RFW	0.39	0.10	a
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SDW	0.18	0.06	ab
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RDW	0.16	0.04	a
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Photo	11.74	7.00	c
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Cond	0.27	0.10	c
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Ci	244.04	113.37	bc
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Tr	4.64	2.02	c
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RL	121.71	129.76	def
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PA	6.77	8.51	efg
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SA	0.55	0.19	abcd
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	AD	121.71	146.52	def
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LPV	0.30	0.29	bcde
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RV	121.71	146.52	def
2	IR83388-B-B108-3	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TPS	445.33	593.78	fg
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PH	30.67	19.19	g
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LN	3.00	1.51	c
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLL	17.70	10.04	f
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLW	0.27	0.28	d
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLL	14.73	4.28	cdef
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLW	0.12	0.10	cd
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLL	0.82	0.21	b
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLW	0.65	0.13	abcde
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SFW	0.31	0.22	bc
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RFW	0.23	0.08	bc
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SDW	0.11	0.05	abc
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RDW	0.07	0.04	bcde
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Photo	11.68	5.10	c
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Cond	0.27	0.07	cd
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Ci	241.76	89.50	c
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Tr	4.54	1.50	c
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RL	142.37	94.01	de
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PA	6.37	6.41	fg
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SA	0.45	0.18	cde
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	AD	142.37	107.31	de
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LPV	0.23	0.22	de
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RV	142.37	107.31	de
3	IR77298-14-1-2-10	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TPS	622.00	570.03	ef
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PH	32.10	11.89	fg
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LN	3.67	0.94	ab
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLL	18.93	5.82	ef
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLW	0.27	0.13	d
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLL	16.37	2.17	cdef
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLW	0.20	0.05	bcd
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLL	0.88	0.12	b
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLW	0.75	0.07	abcd
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SFW	0.23	0.13	c
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RFW	0.17	0.04	bcdef
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SDW	0.11	0.02	bc
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RDW	0.08	0.02	bcde
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Photo	12.87	2.73	bc
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Cond	0.24	0.03	cde
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Ci	232.08	45.94	c
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Tr	4.20	0.74	c
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RL	131.99	49.77	def
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PA	6.24	3.51	fg
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SA	0.44	0.06	de
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	AD	131.99	57.75	def
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LPV	0.26	0.12	cde
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RV	131.99	57.75	def
4	PUSA1121	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TPS	776.33	249.82	de
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PH	42.40	5.23	abcde
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LN	3.00	0.41	c
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLL	24.60	2.85	bcde
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLW	0.32	0.09	cd
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLL	17.60	1.32	cd
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLW	0.10	0.05	d
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLL	0.78	0.06	bcd
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLW	0.40	0.09	cdef
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SFW	0.32	0.07	bc
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RFW	0.13	0.03	ef
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SDW	0.11	0.02	abc
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RDW	0.07	0.01	cdef
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Photo	13.80	2.14	ab
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Cond	0.24	0.03	cde
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Ci	235.04	34.19	c
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Tr	4.30	0.64	c
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RL	220.11	40.07	bc
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PA	9.19	2.51	cdef
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SA	0.42	0.07	de
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	AD	220.11	44.49	bc
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LPV	0.30	0.09	bcde
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RV	220.11	44.49	bc
5	BAM8315	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TPS	998.33	192.10	cd
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PH	46.83	6.98	abcde
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LN	3.33	0.55	bc
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLL	31.93	3.61	a
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLW	0.50	0.10	abc
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLL	27.67	1.52	ab
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLW	0.28	0.03	bcd
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLL	0.87	0.08	b
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLW	0.57	0.03	abcdef
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SFW	0.60	0.08	ab
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RFW	0.16	0.03	cdef
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SDW	0.08	0.02	c
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RDW	0.05	0.01	def
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Photo	7.35	1.56	g
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Cond	0.08	0.02	fg
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Ci	189.46	29.14	d
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Tr	1.75	0.47	de
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RL	179.04	28.75	cd
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PA	12.00	2.02	bcde
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SA	0.68	0.06	ab
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	AD	179.04	33.11	f
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LPV	0.63	0.07	a
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RV	179.04	33.11	f
6	BAM812	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TPS	616.00	203.59	efg
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PH	35.00	3.46	efg
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LN	3.33	0.28	bc
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLL	18.03	1.54	ef
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLW	0.33	0.02	cd
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLL	14.10	0.45	cdef
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLW	0.27	0.01	bcd
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLL	0.79	0.03	bc
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLW	0.83	0.03	ab
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SFW	0.26	0.03	c
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RFW	0.13	0.01	ef
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SDW	0.11	0.00	abc
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RDW	0.05	0.01	ef
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Photo	9.33	0.58	de
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Cond	0.10	0.01	f
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Ci	178.87	8.62	d
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Tr	2.16	0.14	d
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RL	78.81	10.52	f
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PA	3.24	0.76	g
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SA	0.42	0.00	de
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	AD	78.81	12.33	de
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LPV	0.11	0.02	e
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RV	78.81	12.33	de
7	Malchi	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TPS	341.00	30.55	fg
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PH	43.03	1.76	abcd
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LN	3.00	0.14	c
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLL	23.90	1.05	bcdef
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLW	0.50	0.05	abc
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLL	28.00	0.57	a
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLW	0.47	0.02	a
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLL	1.31	0.02	a
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLW	0.93	0.04	a
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SFW	0.69	0.02	a
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RFW	0.15	0.01	def
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SDW	0.19	0.01	ab
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RDW	0.07	0.00	bcdef
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Photo	9.95	0.79	d
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Cond	0.22	0.01	a
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Ci	261.60	13.54	b
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Tr	4.66	0.25	c
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RL	141.34	14.91	de
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PA	9.78	0.91	cdef
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SA	0.72	0.04	a
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	AD	141.34	16.31	ef
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LPV	0.55	0.03	ab
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RV	141.34	16.31	ef
8	BAM 3690	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TPS	459.33	96.76	efg
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PH	42.67	2.66	abcde
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LN	3.00	0.21	c
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLL	27.90	1.36	ab
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLW	0.30	0.04	cd
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLL	19.40	0.59	bc
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLW	0.24	0.01	bcd
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLL	0.63	0.03	bcd
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLW	0.80	0.00	abc
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SFW	0.41	0.03	abc
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RFW	0.21	0.01	bcd
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SDW	0.14	0.01	abc
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RDW	0.04	0.00	f
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Photo	8.91	0.52	def
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Cond	0.32	0.01	e
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Ci	284.38	10.71	a
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Tr	6.29	0.16	a
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RL	93.33	9.52	ef
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PA	6.42	0.69	fg
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SA	0.63	0.03	abc
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	AD	93.33	11.03	ef
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LPV	0.38	0.03	abcde
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RV	93.33	11.03	ef
9	BAM 4138	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TPS	297.33	87.31	g
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PH	41.23	0.85	abcde
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LN	3.00	0.07	c
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLL	26.10	0.25	abcd
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TLW	0.53	0.01	d
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLL	14.30	0.08	cdef
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	BLW	0.13	0.00	cd
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLL	0.56	0.01	bcd
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	rLW	0.25	0.02	ef
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SFW	0.40	0.01	abc
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RFW	0.21	0.00	bcd
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SDW	0.16	0.00	abc
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RDW	0.09	0.00	bc
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Photo	7.50	0.14	fg
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Cond	0.38	0.00	b
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Ci	301.27	2.47	a
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	Tr	7.21	0.06	b
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RL	92.93	2.87	ef
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PA	5.05	0.11	fg
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	SA	0.53	0.02	bcd
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	AD	92.93	2.75	cd
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LPV	0.22	0.00	de
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	RV	92.93	2.75	cd
10	BAM 4521	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	TPS	361.00	35.81	fg
11	Black gora	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	PH	44.67	0.91	abc
11	Black gora	Control	0 DAT	morpho-physiological	Supp 7 (one-way)	docx_table_9	LN	3.00	0.07	c
